,w1,w2,predict,actual
0,เก่า,ใหม่,0.4714005,2.19
1,หลักแหลม,ฉลาด,0.59964365,8.44
2,ยาก,ยาก,1.0,10.0
3,สุข,ร่าเริง,0.32862028,6.67
4,ยาก,ง่าย,0.6150343,2.29
5,ด่วน,รวดเร็ว,0.3005638,7.19
6,สุข,ยินดี,0.2973246,5.31
7,สั้น,ยาว,0.59908915,2.4
8,เซ่อ,ทึ่ม,0.20790578,7.19
9,พิกล,แปลกประหลาด,0.4476434,7.6
10,กว้าง,แคบ,0.5334291,2.29
11,แย่,ห่วย,0.5217081,8.54
12,ง่าย,ยาก,0.6150343,2.19
13,เลว,แย่,0.46369427,6.77
14,ยาก,ง่าย,0.6150343,1.98
15,หลักแหลม,ทึ่ม,0.18441238,1.98
16,วิกลจริต,บ้า,0.30025077,8.65
17,สุข,บ้าคลั่ง,0.15483145,0.73
18,ใหญ่,ใหญ่,1.0,10.0
19,ยาก,ยาก,1.0,10.0
20,ใหม่,สด,0.31245703,7.4
21,แหลม,ทื่อ,0.25317812,1.67
22,เร็ว,ว่องไว,0.42829934,8.54
23,ทึ่ม,โง่,0.2612032,8.44
24,มหัศจรรย์,เป็นเลิศ,0.2966852,3.65
25,แปลก,แปลก,1.0000001,9.9
26,สุข,โกรธ,0.26170215,1.67
27,แคบ,กว้าง,0.5334291,2.19
28,เรียบ,ง่าย,0.37763858,4.17
29,เก่า,สด,0.26431137,1.25
30,ชัดเจน,ชัดเจน,0.9999999,10.0
31,ไม่แพง,ย่อมเยา,0.32230636,8.54
32,ดี,ใจกว้าง,0.34600982,3.33
33,ประหลาด,ปกติ,0.27512306,1.35
34,ประหลาด,แปลก,0.6083986,7.81
35,เลว,ชั่ว,0.51713413,8.23
36,เศร้า,สนุกสนาน,0.32881156,2.08
37,มหัศจรรย์,ยอดเยี่ยม,0.44639134,6.04
38,รู้สึกผิด,ละอาย,0.5892954,7.92
39,งดงาม,มหัศจรรย์,0.36734772,4.38
40,มั่นใจ,แน่ใจ,0.5918966,8.85
41,ทึ่ม,หัวทึบ,0.21931309,7.81
42,กว้าง,ใหญ่,0.3477537,7.5
43,ดี,โหดร้าย,0.24171822,1.46
44,ใจร้อน,กระวนกระวาย,0.4786538,4.48
45,ใหญ่,กว้าง,0.3477537,6.98
46,แข็งแรง,ภูมิใจ,0.21090147,0.42
