,w1,w2,predict,actual
0,เก่า,ใหม่,0.49189508,2.19
1,หลักแหลม,ฉลาด,0.6038726,8.44
2,ยาก,ยาก,1.0,10.0
3,สุข,ร่าเริง,0.26955897,6.67
4,ยาก,ง่าย,0.6157055,2.29
5,ด่วน,รวดเร็ว,0.2974643,7.19
6,สุข,ยินดี,0.2237505,5.31
7,สั้น,ยาว,0.6088236,2.4
8,เซ่อ,ทึ่ม,0.24105825,7.19
9,พิกล,แปลกประหลาด,0.39876977,7.6
10,กว้าง,แคบ,0.53090143,2.29
11,แย่,ห่วย,0.55466133,8.54
12,ง่าย,ยาก,0.6157055,2.19
13,เลว,แย่,0.47675994,6.77
14,ยาก,ง่าย,0.6157055,1.98
15,หลักแหลม,ทึ่ม,0.2412201,1.98
16,วิกลจริต,บ้า,0.29392156,8.65
17,สุข,บ้าคลั่ง,0.18847072,0.73
18,ใหญ่,ใหญ่,1.0,10.0
19,ยาก,ยาก,1.0,10.0
20,ใหม่,สด,0.26571754,7.4
21,แหลม,ทื่อ,0.32091254,1.67
22,เร็ว,ว่องไว,0.48347104,8.54
23,ทึ่ม,โง่,0.2856725,8.44
24,มหัศจรรย์,เป็นเลิศ,0.23728494,3.65
25,แปลก,แปลก,0.9999999,9.9
26,สุข,โกรธ,0.22168583,1.67
27,แคบ,กว้าง,0.53090143,2.19
28,เรียบ,ง่าย,0.34073964,4.17
29,เก่า,สด,0.20434779,1.25
30,ชัดเจน,ชัดเจน,1.0,10.0
31,ไม่แพง,ย่อมเยา,0.36622867,8.54
32,ดี,ใจกว้าง,0.3826129,3.33
33,ประหลาด,ปกติ,0.2920919,1.35
34,ประหลาด,แปลก,0.57043743,7.81
35,เลว,ชั่ว,0.5203979,8.23
36,เศร้า,สนุกสนาน,0.35291812,2.08
37,มหัศจรรย์,ยอดเยี่ยม,0.4078405,6.04
38,รู้สึกผิด,ละอาย,0.6013595,7.92
39,งดงาม,มหัศจรรย์,0.3668968,4.38
40,มั่นใจ,แน่ใจ,0.56285185,8.85
41,ทึ่ม,หัวทึบ,0.20907651,7.81
42,กว้าง,ใหญ่,0.38300213,7.5
43,ดี,โหดร้าย,0.28179237,1.46
44,ใจร้อน,กระวนกระวาย,0.4695496,4.48
45,ใหญ่,กว้าง,0.38300213,6.98
46,แข็งแรง,ภูมิใจ,0.22044884,0.42
47,ไม่จำเป็น,จำเป็น,0.6149684,1.98
48,กระสับกระส่าย,อ่อนวัย,0.34624362,0.21
49,ทึ่ม,ฉลาด,0.35699007,1.88
50,เลว,ยอดเยี่ยม,0.17070203,0.73
51,ยาก,ง่าย,0.6157055,1.98
52,จำเป็น,สำคัญ,0.5249425,8.44
53,ชั่วร้าย,เป็นเลิศ,0.24273168,0.21
54,บ้า,ยินดี,0.18503515,0.42
55,ซื่อสัตย์,รู้สึกผิด,0.38756973,0.94
56,ง่าย,ยาก,0.6157055,1.77
57,ง่าย,ยืดหยุ่น,0.3747796,1.25
58,แน่นอน,แน่นอน,1.0,9.9
59,จำเป็น,จำเป็น,1.0,9.9
60,แตกต่าง,ปกติ,0.3513861,1.15
61,เจ้าเล่ห์,ฉลาด,0.46449283,5.1
62,สำคัญมาก,สำคัญ,0.7816601,8.85
63,รุนแรง,โหดร้าย,0.48276788,5.73
64,ใสซื่อ,โง่,0.42761573,3.23
