,w1,w2,predict,actual
0,เก่า,ใหม่,0.47931987,2.19
1,หลักแหลม,ฉลาด,0.57720625,8.44
2,ยาก,ยาก,1.0,10.0
3,สุข,ร่าเริง,0.2660817,6.67
4,ยาก,ง่าย,0.5613634,2.29
5,ด่วน,รวดเร็ว,0.2841033,7.19
6,สุข,ยินดี,0.26774436,5.31
7,สั้น,ยาว,0.59388304,2.4
8,เซ่อ,ทึ่ม,0.25896916,7.19
9,พิกล,แปลกประหลาด,0.40631825,7.6
10,กว้าง,แคบ,0.52667964,2.29
11,แย่,ห่วย,0.48991948,8.54
12,ง่าย,ยาก,0.5613634,2.19
13,เลว,แย่,0.4179419,6.77
14,ยาก,ง่าย,0.5613634,1.98
15,หลักแหลม,ทึ่ม,0.20759201,1.98
16,วิกลจริต,บ้า,0.3313043,8.65
17,สุข,บ้าคลั่ง,0.17051737,0.73
18,ใหญ่,ใหญ่,0.9999999,10.0
19,ยาก,ยาก,1.0,10.0
20,ใหม่,สด,0.28606707,7.4
21,แหลม,ทื่อ,0.25718525,1.67
22,เร็ว,ว่องไว,0.38595417,8.54
23,ทึ่ม,โง่,0.28648534,8.44
24,มหัศจรรย์,เป็นเลิศ,0.2660645,3.65
25,แปลก,แปลก,1.0,9.9
26,สุข,โกรธ,0.25023744,1.67
27,แคบ,กว้าง,0.52667964,2.19
28,เรียบ,ง่าย,0.33654967,4.17
29,เก่า,สด,0.19121128,1.25
30,ชัดเจน,ชัดเจน,1.0000001,10.0
31,ไม่แพง,ย่อมเยา,0.31072646,8.54
32,ดี,ใจกว้าง,0.36709914,3.33
33,ประหลาด,ปกติ,0.25112072,1.35
34,ประหลาด,แปลก,0.5776248,7.81
35,เลว,ชั่ว,0.49779087,8.23
36,เศร้า,สนุกสนาน,0.32445034,2.08
37,มหัศจรรย์,ยอดเยี่ยม,0.42573047,6.04
38,รู้สึกผิด,ละอาย,0.61083937,7.92
39,งดงาม,มหัศจรรย์,0.3686317,4.38
40,มั่นใจ,แน่ใจ,0.5325356,8.85
41,ทึ่ม,หัวทึบ,0.25716963,7.81
42,กว้าง,ใหญ่,0.30239183,7.5
43,ดี,โหดร้าย,0.27986336,1.46
44,ใจร้อน,กระวนกระวาย,0.45873794,4.48
45,ใหญ่,กว้าง,0.30239183,6.98
46,แข็งแรง,ภูมิใจ,0.18949144,0.42
47,ไม่จำเป็น,จำเป็น,0.6669026,1.98
48,กระสับกระส่าย,อ่อนวัย,0.45234892,0.21
49,ทึ่ม,ฉลาด,0.19699036,1.88
50,เลว,ยอดเยี่ยม,0.18122835,0.73
51,ยาก,ง่าย,0.5613634,1.98
52,จำเป็น,สำคัญ,0.5262985,8.44
53,ชั่วร้าย,เป็นเลิศ,0.21180713,0.21
54,บ้า,ยินดี,0.1591393,0.42
55,ซื่อสัตย์,รู้สึกผิด,0.39487743,0.94
56,ง่าย,ยาก,0.5613634,1.77
57,ง่าย,ยืดหยุ่น,0.4241399,1.25
58,แน่นอน,แน่นอน,1.0,9.9
59,จำเป็น,จำเป็น,1.0,9.9
60,แตกต่าง,ปกติ,0.34620848,1.15
61,เจ้าเล่ห์,ฉลาด,0.46559665,5.1
62,สำคัญมาก,สำคัญ,0.80257845,8.85
63,รุนแรง,โหดร้าย,0.4702356,5.73
64,ใสซื่อ,โง่,0.3939008,3.23
65,ขาดแคลน,หายาก,0.3343846,7.92
66,เป็นมิตร,ใจดี,0.44777092,7.08
67,บอบบาง,เยือกเย็น,0.33547673,0.52
68,ยาว,แคบ,0.34497452,1.67
69,ใหญ่,หนัก,0.35785258,2.6
70,หยาบ,เย็นชา,0.26622757,1.35
71,ผิดปกติ,แปลก,0.34119105,7.92
72,ผิดกฏหมาย,ผิดศีลธรรม,0.65560335,5.52
73,เลว,รู้สึกผิด,0.38349023,1.04
74,ทันสมัย,โบราณ,0.33182704,1.77
75,ใหม่,โบราณ,0.22171253,1.56
76,น่าเบื่อ,สนุกสนาน,0.45880774,1.77
77,มีความสุข,อ่อนวัย,0.33615783,0.94
78,ง่าย,ใหญ่,0.1692726,0.21
79,ยอดเยี่ยม,แย่,0.3607863,1.77
80,เล็ก,ใหญ่,0.49824712,1.98
81,สุภาพ,เหมาะสม,0.3632407,4.38
82,เจียมเนื้อเจียมตัว,ละอาย,0.34520978,2.5
83,แปลกใหม่,หายาก,0.21418378,2.6
84,ทึ่ม,ฉลาด,0.19699036,2.08
85,รื่นรมย์,มหัศจรรย์,0.3222463,1.46
86,เห็นได้ชัด,ชัดเจน,0.55469096,8.44
87,กลัว,กระวนกระวาย,0.3905724,5.1
88,เป็นทางการ,เหมาะสม,0.18572237,4.9
89,น่าเบื่อ,เบื่อ,0.57399964,9.06
90,น่ารื่นรมย์,ร่าเริง,0.46861836,6.88
91,เศร้า,โกรธ,0.48336098,3.44
92,เศร้า,แย่,0.42956582,3.65
93,ป่วย,บ้า,0.3073827,1.56
94,รุนแรง,โกรธ,0.3995829,3.75
95,ภาระ,หนัก,0.34424186,3.02
96,สกปรก,ถูก,0.22057413,0.42
97,ยืดหยุ่น,ยืดหยุ่น,0.9999999,10.0
98,แข็ง,หนาแน่น,0.28086028,5.42
99,ล่าสุด,ใหม่,0.47273162,9.38
100,กล้าหาญ,ภูมิใจ,0.29487038,3.13
101,เจ้าเล่ห์,แปลก,0.32031545,0.1
102,แปลก,เจ้าเล่ห์,0.32031545,0.1
103,ทึ่ม,หายาก,0.26880595,0.0
104,เจ้าเล่ห์,กุ๊ย,0.42488655,0.42
105,ยอดเยี่ยม,บ้า,0.12520543,0.1
106,พอเหมาะ,ยืดหยุ่น,0.35269174,1.77
107,สดใหม่,กว้าง,0.16283788,0.0
108,ใหญ่,ทึ่ม,0.15439044,0.0
109,ใหญ่,ยืดหยุ่น,0.148326,0.1
110,สกปรก,แคบ,0.32647565,0.83
111,ภรรยา,สามี,0.79223174,4.27
112,หนังสือ,ข้อความ,0.28138804,3.96
113,เจ้าบ่าว,เจ้าสาว,0.73865014,4.48
114,กลางคืน,กลางวัน,0.73208463,3.65
115,ทิศใต้,ทิศเหนือ,0.82378125,3.65
116,เครื่องบิน,สนามบิน,0.46833336,3.96
117,ลุง,ป้า,0.49782407,4.06
118,ม้า,แม่ม้า,0.5739922,4.27
119,ก้น ,จุดสูงสุด,0.27577814,0.83
120,เพื่อน,คู่หู,0.3627976,6.46
121,นักเรียน,นักเรียน,1.0,10.0
122,โลก,โลก,1.0,9.38
123,ขา,แขน,0.52040154,3.54
124,เครื่องบิน,เครื่องบินเจ็ต,0.9389063,6.15
125,สุภาพสตรี,สุภาพบุรุษ,0.6317581,3.23
126,ม้า,ม้าตัวผู้,0.43274194,5.31
127,นักแสดงหญิง,นักแสดงชาย,0.8659774,3.33
