,w1,w2,predict,actual
0,แก้ว,ข้ารับใช้,0.117807455,0.058
1,อาหาร,ลายเซ็น,0.088347346,0.068
2,อัญมณี,ลายเซ็น,0.18499611,0.098
3,ฝั่งทะเล,รถยนต์,0.18141553,0.11
4,สุนัข,เครื่องมือ,0.15729928,0.123
5,การเดินทาง,สุสาน,0.29331923,0.135
6,เที่ยงวัน,โรงละคร,0.218973,0.175
7,เที่ยงวัน,การท่องเที่ยว,0.1900766,0.225
8,ยานพาหนะ,เพชรพลอย,0.20599785,0.243
9,เนินเขา,ผลไม้,0.22627658,0.278
10,นักมายากล,ถ้วย,0.17603421,0.278
11,ป่าช้า,หมา,0.28361204,0.293
12,ฝั่งทะเล,พงไพร,0.35020202,0.318
13,นักมายากล,เครื่องมือ,0.22096333,0.32
14,การเดินทาง,กลางวัน,0.2066293,0.343
15,นิตยสาร,ป้า,0.09620599,0.415
16,นักบวช,หนังสือ,0.1829055,0.42
17,เด็กผู้ชาย,หมา,0.35590646,0.44
18,สุนัข,เด็กหนุ่ม,0.23035553,0.53
19,วัด,พงไพร,0.29505953,0.54
20,ทาส,หมา,0.24450605,0.555
21,อาหาร,ถ้วย,0.28053775,0.65
22,ครู,หนังสือ,0.25378448,0.983
23,พืช,ผ้าไหม,0.25545022,1.043
24,เด็กผู้ชาย,อาจารย์,0.2921595,1.083
25,โรงภาพยนตร์,โบสถ์,0.25163865,1.095
26,ทาส,เด็กหนุ่ม,0.2856396,1.16
27,เนินเขา,ชายฝั่ง,0.42899388,1.175
28,ยานพาหนะ,เครื่องมือ,0.37478638,1.265
29,ผ้าฝ้าย,ต้นไม้,0.20129974,1.283
30,อุปกรณ์,รถยนต์,0.3680515,1.336
31,ลุง,อาจารย์,0.30756852,1.41
32,ป่าไม้,ผลไม้,0.27597347,1.551
33,ครู,ป้า,0.23457326,1.625
34,นักบวช,พ่อมด,0.3656604,1.72
35,แก้ว,เพชรพลอย,0.24163254,1.923
36,นักมายากล,พ่อมด,0.46873525,2.01
37,วัด,สุสาน,0.27130112,2.15
38,พืช,พงไพร,0.36746114,2.21
39,ป่าไม้,ภูเขา,0.4253191,2.255
40,อาหาร,ผลไม้,0.5436309,2.363
41,แก้ว,ถ้วย,0.35062885,2.413
42,วัด,พระ,0.43476915,2.675
43,ลุง,ป้า,0.5218635,2.743
44,ป่าไม้,ต้นไม้,0.4878744,2.905
45,โรงภาพยนตร์,โรงละคร,0.5322958,3.018
46,เนินเขา,ภูเขา,0.6831792,3.023
47,เด็กผู้ชาย,เด็กหนุ่ม,0.5874255,3.03
48,ผ้าฝ้าย,ผ้าไหม,0.6660242,3.05
49,ยานพาหนะ,รถยนต์,0.5376751,3.105
50,ฝั่งทะเล,ชายฝั่ง,0.7168611,3.118
51,อุปกรณ์,เครื่องมือ,0.59865636,3.12
52,ทาส,ข้ารับใช้,0.37142387,3.14
53,การเดินทาง,การท่องเที่ยว,0.5606437,3.188
54,นิตยสาร,หนังสือ,0.44349742,3.198
55,ลายมือชื่อ,ลายเซ็น,0.50447774,3.21
56,เที่ยงวัน,กลางวัน,0.518961,3.235
57,ป่าไม้,พงไพร,0.4435736,3.303
58,อัญมณี,เพชรพลอย,0.5384594,3.318
59,พืช,ต้นไม้,0.5259033,3.41
60,นักบวช,พระ,0.37938574,3.575
61,ป่าช้า,สุสาน,0.46773097,3.625
62,วัด,โบสถ์,0.44512707,3.693
63,ครู,อาจารย์,0.6102311,3.783
64,สุนัข,หมา,0.7030794,3.923
