,w1,w2,predict,actual
0,จูล,ยานอวกาศ,0.32143906,0.95
1,ดินแดนพันธสัญญา,เมืองบากุ,0.5510222,1.08
2,รถยนต์,จักรยาน,0.31633118,2.58
3,รูปทรงหลายหน้า,นักแสดงชาย,0.2377595,0.64
4,โรคปลอกประสาทอักเสบ,โรคปลอกประสาทอักเสบ,1.0,3.95
5,ช้อผิดพลาด,ระบบ,0.23857573,1.28
6,อาวุธ,หมวกนิรภัย,0.29771549,0.84
7,คนเขียนบท,โทรทัศน์,0.34029233,1.41
8,สหประชาชาติ,บัน คี มูน,0.358698,1.58
9,สะพานซิโอเซพอล,สะพานคณิตศาสตร์,0.51832056,2.38
10,โบสถ์ใหญ่,โมเสค,0.40771326,1.69
11,การวาดภาพสีน้ำ,แปรง,0.2749851,1.89
12,ประชาธิปไตย,ระบอบกษัตริย์,0.5692657,2.19
13,เกาส์,นักวิทยาศาสตร์,0.30607417,1.09
14,วัณโรค,แอลอีดี,0.3829903,0.56
15,รถขับตัวเอง,รถอัตโนมัติ,0.42983744,3.7
16,วันสิ้นโลก,ไฟ,0.13462798,0.67
17,ความเร็ว,ไปรษณีย์,0.19033608,1.0
18,เครื่องเล่นเพลย์สเตชัน,เครื่องเล่นเกม Wii,0.8614507,3.28
19,แล็ปท็อป,โน๊ตบุ๊ค,0.6858214,3.97
20,แฮรี่ พ็อตเตอร์,พ่อมด,0.4331601,3.23
21,สโนว์บอร์ด,การเล่นสกี,0.39916277,2.98
22,ตัวชี้,สไลด์,0.21140708,1.81
23,เซ็นเซอร์,รังสี,0.30438778,2.23
24,ตี,กรอบ,0.19935918,0.55
25,ทฤษฎี,สมมติฐาน,0.5434812,2.48
26,วอลล์สตรีท,ตลาดเงิน,0.4328969,2.59
27,ดาร์วิน,วิวัฒนาการ,0.22892864,1.64
28,นักแสดงชาย,นักแสดงหญิง,0.81958014,3.11
29,ภาพยนตร์,โรงภาพยนตร์,0.63919187,2.44
30,เพลงชาติ,การรักชาติ,0.40803942,2.03
31,จอภาพ,จอคอมพิวเตอร์,0.50932807,3.47
32,นมเนย,น้ำผึ้ง,0.4745923,2.16
33,ภูเขาเอเวอร์เรสต์,ภูเขาเอเวอร์เรสต์,1.0,4.0
34,ชักเย่อ,บันไดงู,0.26577735,1.58
35,ยาฆ่าแมลง,แมลง,0.583934,1.89
36,ตำรวจ,นักการเมือง,0.4628431,2.27
37,ประสาทวิทยา,ปรจิตวิทยา,0.6458505,2.19
38,แบตเตอรี่,พลังงาน,0.40043643,2.75
39,กองทหารเกียรติยศ,เครื่องเขียน,0.13325088,0.0
40,สไปเดอร์แมน,ถนน,0.09749606,0.27
41,คาบสมุทร,เกาะ,0.4404578,1.83
42,เส้นศูนย์สูตร,เอกวาดอร์,0.420281,1.31
43,แผนผัง,กราฟ,0.3330547,2.25
44,การจำลอง,ศาสตร์หุ่นยนต์,0.3831709,1.59
45,ไนกี้,อดิดาส,0.38703057,3.16
46,สังคม,วัฒนธรรม,0.54381347,2.84
47,เกมกลยุทธ์,กลยุทธ์,0.8489057,3.13
48,โบสถ์,โบสถ์ใหญ่,0.8229554,3.75
49,ล่าม,ชาวต่างชาติ,0.38474485,2.17
50,ไปโอโทป,ชีววิทยา,0.3707879,2.67
51,แมกม่า,ภูเขาไฟ,0.39511997,2.75
52,การระดมสมอง,กล้องโทรทรรศน์,0.2518468,0.27
53,ระดับ,คะแนน,0.2693259,2.55
54,เพนนี,ต่อรอง,0.19233735,0.61
55,พรรคการเมือง,สมาคม,0.3011602,2.31
56,สึนามิ,ทะเล,0.34917232,2.14
57,นกกระจอกเทศ,สวนกล้วยไม้,0.4327025,0.06
58,อบเชย,ลูกอม,0.43399432,0.38
59,ไม้กวาด,ฝุ่น,0.42472205,2.19
60,แกแลคซี่,นักดาราศาสตร์,0.28868157,2.13
61,น้ำผลไม้,มิลค์เชค,0.31965002,2.31
62,มู่ลี่,ม่าน,0.6664182,3.38
63,อาชญากร,ผู้กระทำผิด,0.57779807,3.58
64,มะเร็งตับอ่อน,การทำคีโม,0.53204966,2.05
65,อดีต,มาก่อน,0.31598002,2.86
66,สหประชาชาติ,รัฐสภายุโรป,0.6051238,2.85
67,เพลง,ผู้แสดง,0.31315002,1.41
68,ปืน,โน๊ตบุ๊ค,0.24423912,0.0
69,สารสื่อประสาท,ม่านตา,0.328065,1.77
70,อักษร,ปากกา,0.31115615,1.78
71,ประสานเสียง,นักร้อง,0.47685128,2.36
72,ไม้,ผ้าห่ม,0.27453455,0.06
73,ทหาร,สันติภาพ,0.3235309,1.69
74,ชาวอังกฤษ,ชาวอเมริกัน,0.62458307,2.78
75,กิ้งก่า,จระเข้,0.46423835,2.41
76,เงิน,เงินสด,0.5902489,3.7
77,ปลาหมึกพอล,ปลาหมึกยักษ์,0.84897864,3.48
78,ปฏิทิน,วันหยุด,0.2326705,1.98
79,เบส,สารเคมี,0.18626492,2.23
80,รัฐบาล,กิ้งก่า,0.09419155,0.13
81,เงินเยน,การฟอกเงิน,0.51838267,1.09
82,ดีพไมนด์,กูเกิ้ล ดีพไมนด์,0.7098022,2.95
83,หมากรุก,รุก,0.24186422,1.45
84,โคลง,ความงาม,0.06661325,0.8
85,คนงาน,สำนักงาน,0.2573254,1.58
86,เงินตรา,แลกเปลี่ยน,0.48149163,1.78
87,ใยสังเคราะห์,ฝ้าย,0.50192344,2.58
88,ศาล,ยุติธรรม,0.41489753,2.3
89,หาง,ท้าย,0.26955974,2.91
