,w1,w2,predict,actual
0,จูล,ยานอวกาศ,0.33881184,0.95
1,ดินแดนพันธสัญญา,เมืองบากุ,0.54508156,1.08
2,รถยนต์,จักรยาน,0.3526386,2.58
3,รูปทรงหลายหน้า,นักแสดงชาย,0.1918769,0.64
4,โรคปลอกประสาทอักเสบ,โรคปลอกประสาทอักเสบ,1.0,3.95
5,ช้อผิดพลาด,ระบบ,0.24024281,1.28
6,อาวุธ,หมวกนิรภัย,0.28596509,0.84
7,คนเขียนบท,โทรทัศน์,0.35144174,1.41
8,สหประชาชาติ,บัน คี มูน,0.30239412,1.58
9,สะพานซิโอเซพอล,สะพานคณิตศาสตร์,0.50028634,2.38
10,โบสถ์ใหญ่,โมเสค,0.44671032,1.69
11,การวาดภาพสีน้ำ,แปรง,0.28460616,1.89
12,ประชาธิปไตย,ระบอบกษัตริย์,0.5805588,2.19
13,เกาส์,นักวิทยาศาสตร์,0.20214204,1.09
14,วัณโรค,แอลอีดี,0.36887535,0.56
15,รถขับตัวเอง,รถอัตโนมัติ,0.41796592,3.7
16,วันสิ้นโลก,ไฟ,0.15429728,0.67
17,ความเร็ว,ไปรษณีย์,0.18112637,1.0
18,เครื่องเล่นเพลย์สเตชัน,เครื่องเล่นเกม Wii,0.82579464,3.28
19,แล็ปท็อป,โน๊ตบุ๊ค,0.686938,3.97
20,แฮรี่ พ็อตเตอร์,พ่อมด,0.40267226,3.23
21,สโนว์บอร์ด,การเล่นสกี,0.36499926,2.98
22,ตัวชี้,สไลด์,0.18158036,1.81
23,เซ็นเซอร์,รังสี,0.30225226,2.23
24,ตี,กรอบ,0.1999498,0.55
25,ทฤษฎี,สมมติฐาน,0.5109162,2.48
26,วอลล์สตรีท,ตลาดเงิน,0.40507668,2.59
27,ดาร์วิน,วิวัฒนาการ,0.30642506,1.64
28,นักแสดงชาย,นักแสดงหญิง,0.83199793,3.11
29,ภาพยนตร์,โรงภาพยนตร์,0.6629281,2.44
30,เพลงชาติ,การรักชาติ,0.38844335,2.03
31,จอภาพ,จอคอมพิวเตอร์,0.52110094,3.47
32,นมเนย,น้ำผึ้ง,0.41954497,2.16
33,ภูเขาเอเวอร์เรสต์,ภูเขาเอเวอร์เรสต์,1.0,4.0
34,ชักเย่อ,บันไดงู,0.30206722,1.58
35,ยาฆ่าแมลง,แมลง,0.5785111,1.89
36,ตำรวจ,นักการเมือง,0.44701293,2.27
37,ประสาทวิทยา,ปรจิตวิทยา,0.65879756,2.19
38,แบตเตอรี่,พลังงาน,0.41140038,2.75
39,กองทหารเกียรติยศ,เครื่องเขียน,0.17083731,0.0
40,สไปเดอร์แมน,ถนน,0.11353801,0.27
41,คาบสมุทร,เกาะ,0.4203874,1.83
42,เส้นศูนย์สูตร,เอกวาดอร์,0.45430297,1.31
43,แผนผัง,กราฟ,0.3272305,2.25
44,การจำลอง,ศาสตร์หุ่นยนต์,0.35601863,1.59
45,ไนกี้,อดิดาส,0.4000907,3.16
46,สังคม,วัฒนธรรม,0.5639153,2.84
47,เกมกลยุทธ์,กลยุทธ์,0.85834366,3.13
48,โบสถ์,โบสถ์ใหญ่,0.82569516,3.75
49,ล่าม,ชาวต่างชาติ,0.377721,2.17
50,ไปโอโทป,ชีววิทยา,0.40233225,2.67
51,แมกม่า,ภูเขาไฟ,0.4009957,2.75
52,การระดมสมอง,กล้องโทรทรรศน์,0.274752,0.27
53,ระดับ,คะแนน,0.2618635,2.55
54,เพนนี,ต่อรอง,0.17116988,0.61
55,พรรคการเมือง,สมาคม,0.26305985,2.31
56,สึนามิ,ทะเล,0.3764185,2.14
57,นกกระจอกเทศ,สวนกล้วยไม้,0.4000288,0.06
58,อบเชย,ลูกอม,0.4088095,0.38
59,ไม้กวาด,ฝุ่น,0.39996,2.19
60,แกแลคซี่,นักดาราศาสตร์,0.22337995,2.13
61,น้ำผลไม้,มิลค์เชค,0.35760656,2.31
62,มู่ลี่,ม่าน,0.6756164,3.38
63,อาชญากร,ผู้กระทำผิด,0.5845088,3.58
64,มะเร็งตับอ่อน,การทำคีโม,0.5230182,2.05
65,อดีต,มาก่อน,0.31923956,2.86
66,สหประชาชาติ,รัฐสภายุโรป,0.59920156,2.85
67,เพลง,ผู้แสดง,0.30422792,1.41
68,ปืน,โน๊ตบุ๊ค,0.21175778,0.0
69,สารสื่อประสาท,ม่านตา,0.36276257,1.77
70,อักษร,ปากกา,0.31818467,1.78
71,ประสานเสียง,นักร้อง,0.4620655,2.36
72,ไม้,ผ้าห่ม,0.22716373,0.06
73,ทหาร,สันติภาพ,0.34057286,1.69
74,ชาวอังกฤษ,ชาวอเมริกัน,0.647082,2.78
75,กิ้งก่า,จระเข้,0.50002587,2.41
76,เงิน,เงินสด,0.5643633,3.7
77,ปลาหมึกพอล,ปลาหมึกยักษ์,0.860575,3.48
78,ปฏิทิน,วันหยุด,0.2624925,1.98
79,เบส,สารเคมี,0.16363384,2.23
80,รัฐบาล,กิ้งก่า,0.12621865,0.13
81,เงินเยน,การฟอกเงิน,0.5144466,1.09
82,ดีพไมนด์,กูเกิ้ล ดีพไมนด์,0.74992514,2.95
83,หมากรุก,รุก,0.24381039,1.45
84,โคลง,ความงาม,0.07976247,0.8
85,คนงาน,สำนักงาน,0.25006256,1.58
86,เงินตรา,แลกเปลี่ยน,0.468307,1.78
87,ใยสังเคราะห์,ฝ้าย,0.51973397,2.58
88,ศาล,ยุติธรรม,0.3919001,2.3
89,หาง,ท้าย,0.29297063,2.91
90,อุบัติเหตุ,หนังสือ,0.07976504,0.06
91,พายุ,ลม,0.39993817,2.77
92,เปียโน,ประสานเสียง,0.43400082,1.95
93,สุลต่าน,กระทรวง,0.2137375,0.72
94,ทะเลทราย,เนินทราย,0.53052765,2.5
95,การคูณ,การหาร,0.349034,2.75
96,ไวรัส,เลือด,0.2711988,1.41
97,ยุคน้ำแข็ง,พระราชบัญญัติ,0.1254013,0.0
98,ดาบ,สภาพแวดล้อม,0.09880869,0.06
99,โรงเรียนประถม,ปากกา,0.114235155,0.78
100,จิ้งหรีด,ผู้สนับสนุน,0.08437558,0.0
101,ประติมากรรม,รูปปั้น,0.65160006,3.52
102,เว็บเบราเซอร์,ไฟร์ฟอกซ์,0.5688214,3.25
103,ฟอกซ์ เทอร์เรียร์,แคนอน,0.4788258,0.61
104,เอชเอสบีซี,ประเทศอังกฤษ,0.3587076,0.73
105,คัมภีร์ไบเบิ้ล,พระกิตติคุณ,0.46652558,1.81
106,ชุดเดรส,เต้นรำ,0.22382578,1.83
107,แถว,รายการ,0.07876166,2.03
108,กรง,คุก,0.28099597,3.22
109,เรียงความ,การบ้าน,0.25330818,1.95
110,คอมพิวเตอร์,เครื่องจักร,0.34660506,3.02
111,หมีแพนด้า,หมีขาว,0.53727394,3.06
112,โรคประสาทพิการ,จิตใจ,0.49850675,1.34
113,รณรงค์,ลิง,0.092373736,0.25
114,ค่าคงที่ฟาราเดย์,เครื่องหลัง,0.21713294,0.06
115,วัง,ตึกระฟ้า,0.22623256,1.56
116,เฮลิคอปเตอร์,เครื่องบิน,0.5935535,2.88
117,มหาวิทยาลัยเคมบริดจ์,มหาวิทยาลัยออกซ์ฟอร์ด,0.9073764,3.16
118,ธง,เสา,0.30213383,2.19
119,หน้าต่าง,หลังคา,0.4967666,2.14
120,เกมการ์ด,ร่อน,0.24087499,0.09
121,มัลแวร์,เวิร์ม,0.22250383,3.11
122,ดาวเคราะห์,ดาวฤกษ์,0.7989103,2.97
123,นักวิ่ง,นักกีฬา,0.43690133,3.02
124,เครื่องวัด,ร่ม,0.10535675,0.06
125,ไวไฟ,วิกิลีก,0.23207049,0.31
126,แล้ง,น้ำ,0.49666202,1.75
127,สนามบิน,ชิ้น,0.0816891,0.13
128,ออเคสตร้า,วงดนตรี,0.63932365,2.78
129,โมจิโต,โมฮิโต,0.62776715,3.05
130,แผนการสอน,การสอบ,0.5469626,2.05
131,ทฤษฎีบท,ทฤษฎี,0.7400204,3.45
132,โยโย,ของเล่น,0.27851462,2.53
133,พายุหิมะ,ฝน,0.55346024,2.05
134,นักประวัติศาสตร์,นักประวัติศาสตร์นิพนธ์,0.9224942,3.03
135,ซีเมนส์,รถไฟไฟฟ้า,0.34192955,0.41
136,ศตวรรษ,ปี,0.42948264,2.77
137,โลหะผสม,เหล็กกล้า,0.61407846,3.11
138,ผู้พิพากษา,ผู้พิพากษา,0.9999999,4.0
139,ความโกลาหล,ชั้นเรียน,0.20484571,0.31
140,การศึกษาทางไกล,อินเทอร์เน็ต,0.31433365,2.14
141,ทราย,เท้า,0.25652313,0.34
142,ไอเอ็มเอฟ,ธนาคารดอยซ์,0.57435256,2.13
143,นิตยสารการ์เดียน,นิตยสารไทม์,0.8148488,3.17
144,ตัวไหม,ทางสายไหม,0.3925463,0.0
145,อิสรภาพ,โอเอซิส,0.29728782,0.06
146,ไซโทพลาซึม,เลขโดด,0.28596392,0.13
147,นิกายโปรแตสแตนท์,ชาวคริสต์,0.6554859,2.55
148,ลีโอ นาร์โดดาวินชี,พระกระยาหารมื้อสุดท้าย,0.52959543,1.5
149,แผนที่,จัตุรัส,0.23158994,1.02
150,รัฐสภา,สภาคองเกรส,0.553812,2.98
151,การระดมทุน,การพัฒนา,0.45491448,1.77
152,พยาธิวิทยา,โลหิตวิทยา,0.67107964,1.91
153,หุบเขา,พายุดีเปรสชัน,0.34587646,0.72
154,กล้องโทรทรรศน์,เก้าอี้,0.13523486,0.09
155,โลหะหนัก,เวที,0.10098176,0.14
156,โลกาภิวัฒน์,วีซ่า,0.16340199,0.81
157,ค้างคาว,แวมไพร์,0.3214531,1.98
158,รองหัวหน้า,เจ้าหน้าที่,0.4114493,2.19
159,ไฟฟ้า,กรณี,0.16052808,0.19
160,คนต่างด้าว,คนนอกพื้นที่,0.41753834,3.27
161,กระดุม,จักรเย็บผ้า,0.30068916,1.75
162,พ่อมด,สายเคเบิ้ล,0.27892116,0.0
163,นักปรัชญา,การแข่งขัน,0.1382999,0.58
164,ข้าวโพดคั่ว,โรงภาพยนตร์,0.3341227,1.8
165,การเกษตร,พืช,0.5236721,2.25
166,กวี,นักข่าว,0.36135063,0.89
167,อากาศ,คลื่น,0.2668325,1.23
168,อารยธรรม,วิถีการดำเนินชีวิต,0.43175417,2.61
169,หิมะ,น้ำแข็ง,0.64966625,2.92
170,สงครามโลกครั้งที่ 2,บีโธเฟ่น,0.3243065,0.25
171,แผงวงจรหลัก,เมนบอร์ด,0.31031743,3.66
172,สมาคม,เครื่องหมาย,0.14229065,0.84
173,อเล็กซานเดอร์มหาราช,ผู้พิชิต,0.3866044,2.44
174,แอพ,กาแลคซี่,0.2958216,0.06
175,การคำนวณแบบคลาวด์,ฝน,0.1494293,0.25
176,โทรทัศน์,นักแสดงชาย,0.29522225,1.67
177,สันดอน,ทะเล,0.50146556,1.83
178,เส้นด้าย,ด้าย,0.6494871,4.0
179,ทางข้ามถนน,บุคคล,0.12541495,0.5
180,โปรตีน,ที่จับ,0.23069419,0.06
181,วงยูทู,โรนัลโด้,0.2821432,0.06
182,แอปเปิ้ล,ไอโฟน,0.44523463,1.92
183,เปปเปอร์มินท์,หมากฝรั่ง,0.4211103,2.27
184,โปสเตอร์,บทความ,0.22212818,1.55
185,ยูนิเซฟ,ราก,0.097287074,0.06
186,โรคเกลียดกลัวชาวต่างชาติ,ลัทธิเหยียดผิว,0.55376023,1.44
187,วูดดี อัลเลน,เลนส์,0.2072725,0.58
188,ตะเกียง,จีนนี่,0.29736313,1.61
189,กองทัพเรือ,เกาะ,0.32505205,0.97
190,กำแพง,ปราสาท,0.3934519,1.78
191,ไดโนเสาร์,ช้าง,0.2967166,2.14
192,หอนาฬิกา,หิน,0.309527,0.38
193,ตะวันออกกลาง,แม่น้ำยูเฟรติส,0.35319898,1.63
194,ทุ่งหญ้า,ทุ่งหญ้า,0.9999999,4.0
195,กีต้าร์,ไวโอลิน,0.5174675,3.03
196,การทูต,การต่อรอง,0.39197788,2.22
197,แรงโน้มถ่วง,ดาวตก,0.3515772,1.53
198,ไอคิว,สถาบันเมนซ่า,0.2573511,1.75
199,ธงชาติอังกฤษ,ธง,0.5153887,2.95
200,แผ่นดินไหว,การสั่นสะเทือน,0.5329315,2.94
201,ทรัพย์สิน,หุ้น,0.2974538,2.38
202,ฮิบรู,เยรูซาเล็ม,0.47434634,2.31
203,มืดครึ้ม,พยากรณ์,0.19817181,1.02
204,พจนานุกรม,สารานุกรม,0.6400191,3.13
205,มินท์,พิพิธภัณฑ์,0.18771015,0.0
206,เก้าอี้,ม้านั่ง,0.5604361,3.31
207,ชาวสเปน,ความชื้น,0.16007248,0.06
208,กระป๋อง,ขวด,0.69513816,2.8
209,แมลงวัน,มด,0.45209467,2.5
210,ตำนาน,เรื่องเสียดสี,0.3031264,0.67
211,ใจกลางเมือง,รถประจำทาง,0.4111584,1.13
212,หาง,โบอิ้ง 747-200,0.20067571,0.78
213,งานศิลป์,ศิลปิน,0.56774086,2.31
214,นาโต้,พันธมิตร,0.23290321,2.52
215,กษัตริย์,ผู้ปกครอง,0.35972264,3.33
216,จังหวะ,จังหวะ,1.0000001,4.0
217,อเล็กซานเดอร์ เฟลมมิง,ยาเพนนิซิลิน,0.36979422,0.73
218,ฟลุ๊ต,ดนตรี,0.3741877,2.08
219,นกกระสานวล,ทะเลสาบ,0.32971713,1.53
220,ความหนืด,กระเซ็น,0.28447995,0.86
221,ฮาร์ดแวร์,เคส,0.29633728,1.36
222,แหวน,การหมั้น,0.36771774,2.28
223,ภาษาละติน,ภาษาเยอรมัน,0.6142735,2.63
224,ชนชั้นแรงงาน,โรงงาน,0.24717979,1.83
225,เชกสเปียร์,ดิกคินส์,0.5716424,2.22
226,ธนบัตร,นักบวช,0.17092103,0.13
227,เครื่องมือ,งาน,0.20386687,1.52
228,หมูแคระ,สัตว์พวกหมู,0.6905518,3.08
229,สิทธิเลือกตั้ง,ทางออก,0.19996227,0.48
230,ดวงดาว,ความสว่าง,0.3998074,1.83
231,ปลาเทราท์,กีตาร์,0.32681867,0.0
232,ดอลลาร์,เศรษฐี,0.15478423,1.48
233,ตัวเลข,เลข,0.58791214,4.0
234,ลมแรง,ผ้าห่ม,0.24696779,0.53
235,โอบามา,คลินตัน,0.6811624,2.38
236,ตัวประกอบ,ภาพยนตร์,0.33893037,2.23
237,ยูเวนตุส,บาเยิร์น มิวนิค,0.5518271,2.7
238,อากาศเปลี่ยน,ฝนตก,0.38634232,1.67
239,เอไอ,แบตเตอรี่,0.12810977,0.56
240,งานชิ้นเอก,โมนาลิซ่า,0.2583313,1.98
241,อาชญากรรม,การโจมตี,0.3726292,2.55
242,ราชาภิเษก,น้ำ,0.15062733,0.13
